date,SE1,SE2,SE3,SE4,SE
2018-03-31,28491.29956,47937.422243,247843.416496,72289.786049,396561.924348
2018-04-01,28315.500542,46841.633023,246020.492926,71143.367217,392320.993708
2018-04-02,28092.867289,47079.797095,248012.820878,68946.908173,392132.393435
2018-04-03,30379.98748,49054.364189,275094.177614,81906.027776,436434.557059
2018-04-04,29903.371753,50811.646932,266088.648996,73607.762835,420411.430516
2018-04-05,27842.75308,48986.056581,260600.951388,73084.623174,410514.384223
2018-04-06,27549.520464,48544.011871,261003.825602,73050.065091,410147.423028
2018-04-07,26600.762113,44196.093209,236457.546036,63147.263065,370401.664423
2018-04-08,26739.295819,42332.639989,222340.016439,57657.679114,349069.631361
2018-04-09,28096.329245,46313.041705,249820.134401,63869.23378,388098.739131
2018-04-10,28083.084484,45582.890893,253115.301009,67962.221793,394743.498179
2018-04-11,27766.040729,45656.43391,257897.995359,71660.98476,402981.454758
2018-04-12,27196.909906,44456.740505,252301.713839,70064.381577,394019.745827
2018-04-13,26566.133008,43870.636337,238964.270866,64475.724508,373876.764719
2018-04-14,25289.043814,40239.999073,211550.688973,55389.324148,332469.056008
2018-04-15,24853.677561,38596.151693,212377.192612,57630.52783,333457.549696
2018-04-16,25497.624358,43321.892657,233801.036265,64955.848379,367576.401659
2018-04-17,24931.499853,41333.803851,232094.682806,65963.344158,364323.330668
2018-04-18,25219.054914,41252.599632,229240.601221,62559.188101,358271.443868
2018-04-19,25452.657104,41006.098637,218525.21647,60029.859582,345013.83179300005
2018-04-20,25311.099578,40501.695898,206581.489534,56677.661282,329071.946292
2018-04-21,25167.498457,38967.197658,187583.576951,49550.065966,301268.339032
2018-04-22,25226.855993,38122.650498,193214.090113,51864.517804,308428.114408
2018-04-23,26667.448372,42130.765406,228149.23966,62053.852036,359001.305474
2018-04-24,27027.385129,40337.226606,229460.80162,63348.722786,360174.136141
2018-04-25,26304.92733,40643.55994,230279.758286,65355.0936,362583.339156
2018-04-26,25544.933433,39728.55987,228253.977248,65682.976,359210.446551
2018-04-27,25976.862972,40800.426442,224602.884347,62911.26022,354291.43398100004
2018-04-28,24632.790825,39269.443473,207267.052095,54302.693103,325471.979496
2018-04-29,24575.70736,38930.76698,204973.94699,52085.086605,320565.507935
2018-04-30,25775.336226,40340.699281,219778.660611,56749.132878,342643.82899599994
2018-05-01,25284.098532,40685.233756,210515.068444,55097.682102,331582.082834
2018-05-02,27338.746211,41395.538997,225818.59888,60964.828886,355517.712974
2018-05-03,25559.595682,42375.642664,233042.908929,62191.455711,363169.602986
2018-05-04,25685.002685,41176.121526,221746.803729,59258.183168,347866.11110800004
2018-05-05,23729.928245,38133.454489,190444.178999,50858.410466,303165.97219899995
2018-05-06,24055.258965,36472.794977,183858.216258,48968.1387,293354.4089
2018-05-07,25961.527841,39724.729806,203436.506225,55858.077361,324980.841233
